title,studio,is_pierrot,mal_score,members,revenue_profile,episodes,type
Bleach: Thousand-Year Blood War,Pierrot,1,8.99,284000,RevivalHit,52,TV
Jujutsu Kaisen Season 2,MAPPA,0,9.08,1200000,RecentHit,23,TV
Demon Slayer: Kimetsu no Yaiba,ufotable,0,8.95,850000,RecentHit,26,TV
Naruto: Shippuden,Pierrot,1,8.28,2400000,LegacyEvergreen,500,TV
Tokyo Ghoul,Pierrot,1,7.80,1500000,LegacyEvergreen,12,TV
Boruto: Naruto Next Generations,Pierrot,1,5.98,450000,LongRun,293,TV
Black Clover,Pierrot,1,8.16,580000,LongRun,170,TV
Attack on Titan,MAPPA,0,9.16,3100000,LegacyEvergreen,87,TV
My Hero Academia,Bones,0,7.86,1800000,LongRun,138,TV
Chainsaw Man,MAPPA,0,8.64,920000,RecentHit,12,TV
