booking_id,booking_date,booking_year,booking_month,month_name,quarter,season,day_name,is_weekend,client_name,client_type,client_region,client_country,service_name,service_category,destination,agent_name,agent_team,booking_status,pax,nights,revenue,cost,margin,margin_pct,currency
BK-000010,2020-01-03,2020,1,January,1,Winter,Friday,0,Beijing Star International,Agency,Asia-Pacific,China,Ski Package Alps,Tour,Chamonix,Thomas Roux,Inbound Americas,Completed,7,2,1278.92,908.95,369.97,28.9,EUR
BK-000013,2020-01-03,2020,1,January,1,Winter,Friday,0,Swiss Premium Tours,Agency,Europe,Switzerland,Private Car Service,Transfer,Multi-city,Thomas Roux,Inbound Americas,Cancelled,9,0,541.53,372.74,168.78999999999996,31.2,EUR
BK-000020,2020-01-03,2020,1,January,1,Winter,Friday,0,Amazon Corp Travel,Corporate,North America,USA,City Walking Tour,Tour,Paris,Jean-Luc Bernard,Inbound Americas,Completed,1,1,60.65,42.93,17.72,29.2,EUR
BK-000001,2020-01-04,2020,1,January,1,Winter,Saturday,1,Nordic Explorers AB,Agency,Europe,Sweden,Lyon Food Tour,Tour,Lyon,Sophie Laurent,Inbound Asia,Completed,12,1,784.49,576.73,207.76,26.5,EUR
BK-000005,2020-01-04,2020,1,January,1,Winter,Saturday,1,Swiss Premium Tours,Agency,Europe,Switzerland,TGV Train Booking,Transfer,Multi-city,Camille Moreau,Corporate,Cancelled,1,0,117.57,80.42,37.14999999999999,31.6,EUR
BK-000011,2020-01-05,2020,1,January,1,Winter,Sunday,1,Amazon Corp Travel,Corporate,North America,USA,Marseille Port Tour,Tour,Marseille,Isabelle Leroy,Inbound Europe,Cancelled,10,2,1099.1,664.77,434.3299999999999,39.5,EUR
BK-000016,2020-01-05,2020,1,January,1,Winter,Sunday,1,Andalucia Sun Tours,Agency,Europe,Spain,Chateau Stay Bordeaux,Accommodation,Bordeaux,Marie Dubois,Inbound Europe,Cancelled,10,9,15076.99,8365.76,6711.23,44.5,EUR
BK-000004,2020-01-06,2020,1,January,1,Winter,Monday,0,Maple Leaf Journeys,Agency,North America,Canada,Versailles Day Trip,Tour,Versailles,Sophie Laurent,Inbound Asia,Completed,4,2,774.33,491.04,283.29,36.6,EUR
BK-000024,2020-01-07,2020,1,January,1,Winter,Tuesday,0,Gulf Luxury Travel,Corporate,Middle East,UAE,Marseille Port Tour,Tour,Marseille,Isabelle Leroy,Inbound Europe,Cancelled,3,3,275.35,168.64,106.71000000000004,38.8,EUR
BK-000008,2020-01-12,2020,1,January,1,Winter,Sunday,1,Pacific Coast Tours,Agency,North America,USA,Nice Coastal Tour,Tour,Nice,Sophie Laurent,Inbound Asia,Completed,9,2,1434.32,847.47,586.8499999999999,40.9,EUR
