id,name,category,destination
1,City Walking Tour,Tour,Paris
2,Airport Transfer,Transfer,Paris
3,Hotel Le Marais,Accommodation,Paris
4,Seine River Cruise,Tour,Paris
5,Wine Tasting Bordeaux,Tour,Bordeaux
6,Chateau Stay Bordeaux,Accommodation,Bordeaux
7,Nice Coastal Tour,Tour,Nice
8,Hotel Promenade Nice,Accommodation,Nice
9,Lyon Food Tour,Tour,Lyon
10,Mont Blanc Excursion,Tour,Chamonix
11,D-Day Normandy Tour,Tour,Normandy
12,TGV Train Booking,Transfer,Multi-city
13,Private Car Service,Transfer,Multi-city
14,Versailles Day Trip,Tour,Versailles
15,Provence Lavender Tour,Tour,Provence
16,Hotel Vieux Lyon,Accommodation,Lyon
17,Strasbourg Christmas Tour,Tour,Strasbourg
18,Marseille Port Tour,Tour,Marseille
19,Ski Package Alps,Tour,Chamonix
20,Hotel Negresco Nice,Accommodation,Nice
