booking_id,booking_date,checkin_date,checkout_date,client_id,client_name,service_id,service_name,service_category,destination,agent_id,agent_name,status,pax,nights,revenue,cost,currency
BK-020001,2024-01-24,2024-04-01,2024-04-04,12,Kiwi Adventures Ltd,20,Hotel Negresco Nice,Accommodation,Nice,1,Marie Dubois,Completed,1,3,641.75,369.94,EUR
BK-020002,2024-01-09,2024-03-17,2024-03-20,7,Beijing Star International,14,Versailles Day Trip,Tour,Versailles,6,Nicolas Petit,Completed,9,3,612.87,357.11,EUR
BK-020003,2024-01-24,2024-03-28,2024-03-31,10,Seoul Wanderers Co.,9,Lyon Food Tour,Tour,Lyon,8,Thomas Roux,Cancelled,8,3,1128.66,726.24,EUR
BK-020004,2024-01-30,2024-04-19,2024-04-21,7,Beijing Star International,11,D-Day Normandy Tour,Tour,Normandy,4,Jean-Luc Bernard,Completed,6,2,647.97,450.13,EUR
BK-020005,2024-01-04,2024-01-27,2024-01-28,5,Gulf Luxury Travel,12,TGV Train Booking,Transfer,Multi-city,1,Marie Dubois,Completed,2,0,206.79,116.92,EUR
BK-020006,2024-01-09,2024-03-04,2024-03-05,5,Gulf Luxury Travel,19,Ski Package Alps,Tour,Chamonix,7,Isabelle Leroy,Completed,8,0,534.32,305.77,EUR
BK-020007,2024-01-19,2024-04-02,2024-04-03,12,Kiwi Adventures Ltd,7,Nice Coastal Tour,Tour,Nice,4,Jean-Luc Bernard,Completed,11,1,611.99,432.54,EUR
BK-020008,2024-01-18,2024-03-20,2024-03-21,2,Alpine Adventures GmbH,18,Marseille Port Tour,Tour,Marseille,6,Nicolas Petit,Completed,11,1,1198.97,699.18,EUR
BK-020009,2024-01-24,2024-03-26,2024-03-27,8,Nordic Explorers AB,12,TGV Train Booking,Transfer,Multi-city,4,Jean-Luc Bernard,Completed,6,0,787.03,467.88,EUR
BK-020010,2024-01-02,2024-01-20,2024-01-31,9,Maple Leaf Journeys,20,Hotel Negresco Nice,Accommodation,Nice,8,Thomas Roux,Completed,5,11,11528.81,6697.92,EUR
BK-020011,2024-01-06,2024-02-27,2024-02-28,10,Seoul Wanderers Co.,19,Ski Package Alps,Tour,Chamonix,6,Nicolas Petit,Completed,2,1,235.62,163.2,EUR
BK-020012,2024-01-05,2024-01-23,2024-01-24,3,Pacific Coast Tours,19,Ski Package Alps,Tour,Chamonix,8,Thomas Roux,Cancelled,11,1,1309.15,861.26,EUR
BK-020013,2024-01-01,2024-02-02,2024-02-04,15,Horizon Corp Events,19,Ski Package Alps,Tour,Chamonix,6,Nicolas Petit,Cancelled,11,2,1619.81,1018.97,EUR
BK-020014,2024-01-23,2024-04-17,2024-04-29,16,Mumbai Getaways Pvt,16,Hotel Vieux Lyon,Accommodation,Lyon,2,Pierre Martin,Completed,8,12,15472.99,8797.03,EUR
BK-020015,2024-01-10,2024-02-07,2024-02-09,7,Beijing Star International,10,Mont Blanc Excursion,Tour,Chamonix,6,Nicolas Petit,Completed,4,2,501.74,363.22,EUR
BK-020016,2024-01-11,2024-03-15,2024-03-16,2,Alpine Adventures GmbH,12,TGV Train Booking,Transfer,Multi-city,3,Sophie Laurent,Completed,8,0,391.6,275.97,EUR
BK-020017,2024-01-24,2024-02-18,2024-02-19,19,Amazon Corp Travel,13,Private Car Service,Transfer,Multi-city,6,Nicolas Petit,Completed,8,0,857.91,684.57,EUR
BK-020018,2024-01-20,2024-02-22,2024-02-23,19,Amazon Corp Travel,7,Nice Coastal Tour,Tour,Nice,2,Pierre Martin,Completed,7,1,912.63,704.99,EUR
BK-020019,2024-01-01,2024-03-08,2024-03-10,11,Roma Viaggi SRL,18,Marseille Port Tour,Tour,Marseille,1,Marie Dubois,Completed,7,2,951.26,587.94,EUR
BK-020020,2024-01-19,2024-04-11,2024-04-13,4,Voyages Lumiere,9,Lyon Food Tour,Tour,Lyon,1,Marie Dubois,Cancelled,12,2,721.43,450.87,EUR
BK-020021,2024-01-25,2024-04-10,2024-04-15,20,Swiss Premium Tours,16,Hotel Vieux Lyon,Accommodation,Lyon,4,Jean-Luc Bernard,Completed,6,5,4655.08,3240.56,EUR
BK-020022,2024-01-31,2024-02-01,2024-02-02,17,Andalucia Sun Tours,4,Seine River Cruise,Tour,Paris,7,Isabelle Leroy,Completed,10,0,1840.48,1298.67,EUR
BK-020023,2024-01-31,2024-02-20,2024-02-21,12,Kiwi Adventures Ltd,19,Ski Package Alps,Tour,Chamonix,8,Thomas Roux,Completed,6,1,489.12,306.52,EUR
BK-020024,2024-01-21,2024-01-31,2024-02-01,11,Roma Viaggi SRL,4,Seine River Cruise,Tour,Paris,8,Thomas Roux,Completed,1,0,178.26,111.39,EUR
BK-020025,2024-01-02,2024-03-25,2024-04-08,14,Direct Client - Web,3,Hotel Le Marais,Accommodation,Paris,5,Camille Moreau,Completed,11,14,19029.83,11357.84,EUR
BK-020026,2024-01-11,2024-02-22,2024-02-25,6,Southern Cross Holidays,10,Mont Blanc Excursion,Tour,Chamonix,1,Marie Dubois,Completed,3,3,582.68,441.46,EUR
BK-020027,2024-01-09,2024-02-28,2024-03-11,6,Southern Cross Holidays,20,Hotel Negresco Nice,Accommodation,Nice,3,Sophie Laurent,Completed,11,12,19468.52,12092.34,EUR
BK-020028,2024-01-28,2024-02-08,2024-02-09,10,Seoul Wanderers Co.,15,Provence Lavender Tour,Tour,Provence,4,Jean-Luc Bernard,Cancelled,5,1,538.69,419.24,EUR
BK-020029,2024-01-26,2024-04-15,2024-04-17,16,Mumbai Getaways Pvt,11,D-Day Normandy Tour,Tour,Normandy,1,Marie Dubois,Completed,12,2,1791.58,1172.2,EUR
BK-020030,2024-01-08,2024-03-22,2024-03-23,2,Alpine Adventures GmbH,17,Strasbourg Christmas Tour,Tour,Strasbourg,8,Thomas Roux,Completed,10,0,1992.82,1274.14,EUR
BK-020031,2024-01-11,2024-01-29,2024-02-03,3,Pacific Coast Tours,3,Hotel Le Marais,Accommodation,Paris,3,Sophie Laurent,Completed,1,5,1632.05,965.14,EUR
BK-020032,2024-01-16,2024-02-29,2024-03-01,3,Pacific Coast Tours,13,Private Car Service,Transfer,Multi-city,7,Isabelle Leroy,Completed,9,0,314.93,221.03,EUR
BK-020033,2024-01-22,2024-02-02,2024-02-04,9,Maple Leaf Journeys,17,Strasbourg Christmas Tour,Tour,Strasbourg,2,Pierre Martin,Completed,4,2,331.0,198.36,EUR
BK-020034,2024-01-24,2024-01-26,2024-01-28,20,Swiss Premium Tours,5,Wine Tasting Bordeaux,Tour,Bordeaux,2,Pierre Martin,Cancelled,6,2,1114.31,806.94,EUR
BK-020035,2024-01-18,2024-02-02,2024-02-03,12,Kiwi Adventures Ltd,15,Provence Lavender Tour,Tour,Provence,8,Thomas Roux,Completed,9,0,680.09,384.17,EUR
BK-020036,2024-01-24,2024-03-03,2024-03-04,6,Southern Cross Holidays,19,Ski Package Alps,Tour,Chamonix,2,Pierre Martin,Completed,10,1,1794.18,1275.27,EUR
BK-020037,2024-01-10,2024-01-31,2024-02-02,17,Andalucia Sun Tours,19,Ski Package Alps,Tour,Chamonix,2,Pierre Martin,Completed,5,2,332.62,183.51,EUR
BK-020038,2024-01-27,2024-04-02,2024-04-03,13,Direct Client - Walk-in,12,TGV Train Booking,Transfer,Multi-city,4,Jean-Luc Bernard,Completed,10,0,445.2,339.99,EUR
BK-020039,2024-01-05,2024-01-06,2024-01-07,1,Sakura Travel Group,4,Seine River Cruise,Tour,Paris,2,Pierre Martin,Completed,8,1,762.36,427.49,EUR
BK-020040,2024-01-29,2024-04-03,2024-04-05,14,Direct Client - Web,10,Mont Blanc Excursion,Tour,Chamonix,7,Isabelle Leroy,Completed,7,2,732.19,457.12,EUR
BK-020041,2024-01-18,2024-02-06,2024-02-07,20,Swiss Premium Tours,15,Provence Lavender Tour,Tour,Provence,2,Pierre Martin,Completed,4,1,597.24,396.73,EUR
BK-020042,2024-01-31,2024-04-18,2024-04-21,10,Seoul Wanderers Co.,4,Seine River Cruise,Tour,Paris,5,Camille Moreau,Cancelled,12,3,1750.68,1017.04,EUR
BK-020043,2024-01-11,2024-02-05,2024-02-06,18,Thai Smile Holidays,5,Wine Tasting Bordeaux,Tour,Bordeaux,1,Marie Dubois,Completed,2,0,129.51,73.23,EUR
BK-020044,2024-01-05,2024-02-02,2024-02-04,13,Direct Client - Walk-in,4,Seine River Cruise,Tour,Paris,3,Sophie Laurent,Cancelled,4,2,373.89,256.41,EUR
BK-020045,2024-01-01,2024-01-18,2024-01-20,13,Direct Client - Walk-in,5,Wine Tasting Bordeaux,Tour,Bordeaux,3,Sophie Laurent,Completed,7,2,850.44,485.11,EUR
BK-020046,2024-01-25,2024-02-15,2024-02-16,11,Roma Viaggi SRL,1,City Walking Tour,Tour,Paris,4,Jean-Luc Bernard,Completed,5,1,369.19,252.61,EUR
BK-020047,2024-01-02,2024-02-29,2024-03-07,1,Sakura Travel Group,16,Hotel Vieux Lyon,Accommodation,Lyon,5,Camille Moreau,Completed,3,7,5190.18,3804.07,EUR
BK-020048,2024-01-21,2024-04-15,2024-04-18,14,Direct Client - Web,19,Ski Package Alps,Tour,Chamonix,7,Isabelle Leroy,Completed,8,3,762.86,604.82,EUR
BK-020049,2024-01-29,2024-04-02,2024-04-16,5,Gulf Luxury Travel,16,Hotel Vieux Lyon,Accommodation,Lyon,2,Pierre Martin,Completed,1,14,2816.54,1787.12,EUR
BK-020050,2024-01-27,2024-04-25,2024-04-26,1,Sakura Travel Group,2,Airport Transfer,Transfer,Paris,4,Jean-Luc Bernard,Completed,4,0,455.5,351.02,EUR
BK-020051,2024-01-03,2024-01-06,2024-01-18,16,Mumbai Getaways Pvt,20,Hotel Negresco Nice,Accommodation,Nice,3,Sophie Laurent,Completed,5,12,17732.12,13318.27,EUR
BK-020052,2024-01-09,2024-02-02,2024-02-04,10,Seoul Wanderers Co.,14,Versailles Day Trip,Tour,Versailles,2,Pierre Martin,Completed,7,2,1132.19,811.33,EUR
BK-020053,2024-01-22,2024-02-18,2024-02-19,16,Mumbai Getaways Pvt,19,Ski Package Alps,Tour,Chamonix,7,Isabelle Leroy,Completed,12,1,2316.3,1684.86,EUR
BK-020054,2024-01-18,2024-02-28,2024-03-03,18,Thai Smile Holidays,6,Chateau Stay Bordeaux,Accommodation,Bordeaux,2,Pierre Martin,Completed,9,4,4525.2,3538.6,EUR
BK-020055,2024-01-30,2024-03-19,2024-03-20,15,Horizon Corp Events,7,Nice Coastal Tour,Tour,Nice,7,Isabelle Leroy,Completed,9,1,478.81,369.24,EUR
BK-020056,2024-01-02,2024-02-07,2024-02-18,8,Nordic Explorers AB,6,Chateau Stay Bordeaux,Accommodation,Bordeaux,6,Nicolas Petit,Completed,8,11,25412.97,15444.64,EUR
